equipo_local,equipo_visitante,goles_local,goles_visitante,resultado
Platense,Argentinos,0,0,E
Colon,Central Cba (SdE),1,0,L
Huracan,Independiente,0,1,V
River Plate,Arsenal,1,0,L
Gimnasia (LP),Union,1,0,L
Lanus,Newells,1,2,V
Rosario Central,San Lorenzo,1,0,L
Def y Justicia,Banfield,0,0,E
Sarmiento (J),Velez,0,1,V
Estudiantes (LP),Platense,1,1,E
Aldosivi,Gimnasia (LP),1,3,V
Arsenal,Lanus,1,0,L
Talleres (C),Rosario Central,4,1,L
Banfield,Atl Tucuman,2,0,L
Central Cba (SdE),River Plate,1,3,V
Union,Patronato,2,0,L
San Lorenzo,Def y Justicia,2,1,L
Independiente,Godoy Cruz,1,4,V
Boca Juniors,Colon,1,0,L
Argentinos,Racing Club,2,0,L
Newells,Huracan,0,1,V
Aldosivi,Union,1,2,V
Lanus,Central Cba (SdE),2,1,L
Platense,Patronato,0,0,E
Godoy Cruz,Newells,2,2,E
Huracan,Arsenal,1,0,L
Atl Tucuman,San Lorenzo,0,0,E
Velez,Independiente,3,3,E
Gimnasia (LP),Sarmiento (J),0,1,V
Rosario Central,Argentinos,0,1,V
River Plate,Boca Juniors,2,1,L
Racing Club,Estudiantes (LP),1,1,E
Def y Justicia,Talleres (C),3,0,L
Colon,Banfield,0,0,E
Union,Platense,1,2,V
Central Cba (SdE),Huracan,1,2,V
Estudiantes (LP),Rosario Central,2,2,E
Newells,Velez,1,2,V
Sarmiento (J),Aldosivi,3,0,L
Argentinos,Def y Justicia,0,2,V
Patronato,Racing Club,1,2,V
Banfield,River Plate,0,1,V
Boca Juniors,Lanus,4,2,L
Arsenal,Godoy Cruz,0,0,E
San Lorenzo,Colon,1,2,V
Independiente,Gimnasia (LP),1,1,E
Talleres (C),Atl Tucuman,2,0,L
Godoy Cruz,Central Cba (SdE),0,0,E
Rosario Central,Patronato,3,2,L
Racing Club,Platense,0,1,V
Def y Justicia,Estudiantes (LP),2,1,L
Velez,Arsenal,0,0,E
Sarmiento (J),Union,3,4,V
Gimnasia (LP),Newells,1,0,L
Lanus,Banfield,1,1,E
Huracan,Boca Juniors,0,3,V
Colon,Talleres (C),1,0,L
Atl Tucuman,Argentinos,4,3,L
Aldosivi,Independiente,1,0,L
River Plate,San Lorenzo,3,1,L
Platense,Rosario Central,1,1,E
Union,Racing Club,1,1,E
Patronato,Def y Justicia,3,3,E
Central Cba (SdE),Velez,1,2,V
Arsenal,Gimnasia (LP),0,1,V
San Lorenzo,Lanus,1,3,V
Estudiantes (LP),Atl Tucuman,1,1,E
Banfield,Huracan,1,4,V
Boca Juniors,Godoy Cruz,2,1,L
Argentinos,Colon,3,1,L
Newells,Aldosivi,0,0,E
Independiente,Sarmiento (J),1,1,E
Talleres (C),River Plate,0,2,V
Gimnasia (LP),Central Cba (SdE),2,2,E
Def y Justicia,Platense,2,1,L
Rosario Central,Racing Club,2,1,L
Godoy Cruz,Banfield,2,1,L
Colon,Estudiantes (LP),2,1,L
Huracan,San Lorenzo,2,1,L
Velez,Boca Juniors,2,0,L
Aldosivi,Arsenal,2,1,L
Sarmiento (J),Newells,2,1,L
Atl Tucuman,Patronato,2,2,E
Lanus,Talleres (C),3,3,E
River Plate,Argentinos,3,0,L
Independiente,Union,1,0,L
Racing Club,Def y Justicia,1,2,V
Argentinos,Lanus,0,1,V
Platense,Atl Tucuman,4,1,L
Arsenal,Sarmiento (J),1,0,L
Banfield,Velez,2,1,L
Talleres (C),Huracan,1,0,L
Boca Juniors,Gimnasia (LP),0,1,V
San Lorenzo,Godoy Cruz,1,0,L
Union,Rosario Central,3,1,L
Newells,Independiente,1,0,L
Estudiantes (LP),River Plate,1,1,E
Patronato,Colon,2,0,L
Central Cba (SdE),Aldosivi,0,0,E
Def y Justicia,Rosario Central,3,0,L
Lanus,Estudiantes (LP),1,1,E
Godoy Cruz,Talleres (C),0,2,V
Colon,Platense,3,0,L
Independiente,Arsenal,3,0,L
Atl Tucuman,Racing Club,0,2,V
Gimnasia (LP),Banfield,0,1,V
Sarmiento (J),Central Cba (SdE),1,3,V
Velez,San Lorenzo,2,1,L
River Plate,Patronato,5,0,L
Newells,Union,1,0,L
Huracan,Argentinos,1,1,E
Aldosivi,Boca Juniors,0,3,V
Union,Def y Justicia,2,3,V
Patronato,Lanus,3,2,L
Banfield,Aldosivi,0,2,V
Estudiantes (LP),Huracan,4,1,L
San Lorenzo,Gimnasia (LP),0,1,V
Argentinos,Godoy Cruz,0,0,E
Talleres (C),Velez,1,1,E
Rosario Central,Atl Tucuman,3,1,L
Boca Juniors,Sarmiento (J),2,0,L
Central Cba (SdE),Independiente,1,0,L
Arsenal,Newells,3,1,L
Racing Club,Colon,1,2,V
Platense,River Plate,0,1,V
Huracan,Patronato,1,0,L
Gimnasia (LP),Talleres (C),5,2,L
Aldosivi,San Lorenzo,2,0,L
Godoy Cruz,Estudiantes (LP),1,3,V
Velez,Argentinos,2,0,L
Sarmiento (J),Banfield,0,0,E
Newells,Central Cba (SdE),1,0,L
Atl Tucuman,Def y Justicia,0,4,V
Independiente,Boca Juniors,1,0,L
Arsenal,Union,0,1,V
Colon,Rosario Central,1,4,V
Lanus,Platense,3,3,E
River Plate,Racing Club,4,0,L
Talleres (C),Aldosivi,2,0,L
Patronato,Godoy Cruz,0,3,V
Estudiantes (LP),Velez,1,0,L
Rosario Central,River Plate,2,2,E
Argentinos,Gimnasia (LP),3,0,L
Def y Justicia,Colon,1,1,E
Union,Atl Tucuman,3,0,L
Racing Club,Lanus,3,1,L
Central Cba (SdE),Arsenal,5,0,L
Platense,Huracan,4,2,L
San Lorenzo,Sarmiento (J),1,0,L
Boca Juniors,Newells,0,0,E
Banfield,Independiente,4,1,L
Colon,Atl Tucuman,3,0,L
Central Cba (SdE),Union,2,0,L
Velez,Patronato,0,0,E
Arsenal,Boca Juniors,1,1,E
Godoy Cruz,Platense,2,2,E
Sarmiento (J),Talleres (C),1,2,V
Lanus,Rosario Central,2,2,E
Huracan,Racing Club,1,0,L
Gimnasia (LP),Estudiantes (LP),4,4,E
Independiente,San Lorenzo,1,1,E
River Plate,Def y Justicia,2,3,V
Aldosivi,Argentinos,3,2,L
Newells,Banfield,0,0,E
Platense,Velez,3,2,L
Estudiantes (LP),Aldosivi,2,3,V
Patronato,Gimnasia (LP),0,0,E
Argentinos,Sarmiento (J),2,0,L
Racing Club,Godoy Cruz,2,1,L
Union,Colon,3,0,L
Rosario Central,Huracan,1,4,V
Atl Tucuman,River Plate,1,1,E
Boca Juniors,Central Cba (SdE),8,1,L
San Lorenzo,Newells,3,2,L
Def y Justicia,Lanus,2,1,L
Talleres (C),Independiente,1,2,V
Banfield,Arsenal,0,0,E
Barracas Central,Central Cba (SdE),1,1,E
Atl Tucuman,Colon,1,1,E
San Lorenzo,Independiente,1,1,E
Banfield,Newells,1,2,V
Patronato,Velez,1,1,E
Platense,Godoy Cruz,2,1,L
Racing Club,Huracan,2,0,L
Talleres (C),Sarmiento (J),2,0,L
Union,Tigre,1,2,V
Estudiantes (LP),Gimnasia (LP),1,1,E
Boca Juniors,Arsenal,2,1,L
Def y Justicia,River Plate,0,0,E
Rosario Central,Lanus,0,0,E
Argentinos,Aldosivi,2,1,L
Newells,San Lorenzo,0,0,E
Gimnasia (LP),Patronato,2,0,L
Aldosivi,Estudiantes (LP),0,1,V
Lanus,Def y Justicia,1,1,E
Independiente,Talleres (C),1,0,L
Huracan,Rosario Central,2,0,L
Tigre,Barracas Central,1,1,E
Arsenal,Banfield,0,0,E
Sarmiento (J),Argentinos,1,0,L
River Plate,Atl Tucuman,0,0,E
Colon,Union,2,2,E
Godoy Cruz,Racing Club,2,0,L
Velez,Platense,0,1,V
Central Cba (SdE),Boca Juniors,1,0,L
San Lorenzo,Arsenal,3,3,E
Patronato,Aldosivi,1,0,L
Talleres (C),Newells,0,1,V
Def y Justicia,Huracan,1,1,E
Estudiantes (LP),Sarmiento (J),2,1,L
Barracas Central,Union,1,2,V
Banfield,Central Cba (SdE),2,1,L
Atl Tucuman,Lanus,2,1,L
Colon,River Plate,1,0,L
Boca Juniors,Tigre,5,3,L
Argentinos,Independiente,2,1,L
Rosario Central,Godoy Cruz,1,0,L
Platense,Gimnasia (LP),1,1,E
Racing Club,Velez,2,0,L
Arsenal,Talleres (C),1,1,E
Sarmiento (J),Patronato,3,1,L
Tigre,Banfield,0,1,V
Huracan,Atl Tucuman,0,0,E
Lanus,Colon,1,0,L
Union,River Plate,1,5,V
Barracas Central,Boca Juniors,1,3,V
Godoy Cruz,Def y Justicia,2,1,L
Gimnasia (LP),Racing Club,3,1,L
Velez,Rosario Central,2,0,L
Independiente,Estudiantes (LP),2,1,L
Newells,Argentinos,1,0,L
Aldosivi,Platense,0,0,E
Central Cba (SdE),San Lorenzo,0,2,V
Rosario Central,Gimnasia (LP),0,1,V
Banfield,Barracas Central,1,1,E
Boca Juniors,Union,1,2,V
Def y Justicia,Velez,1,1,E
Talleres (C),Central Cba (SdE),0,2,V
Estudiantes (LP),Newells,0,2,V
Colon,Huracan,0,1,V
River Plate,Lanus,2,1,L
San Lorenzo,Tigre,1,1,E
Platense,Sarmiento (J),0,0,E
Racing Club,Aldosivi,5,0,L
Argentinos,Arsenal,1,1,E
Patronato,Independiente,3,1,L
Atl Tucuman,Godoy Cruz,1,1,E
Central Cba (SdE),Argentinos,1,2,V
Boca Juniors,Banfield,0,3,V
Tigre,Talleres (C),1,1,E
Godoy Cruz,Colon,1,0,L
Velez,Atl Tucuman,0,1,V
Gimnasia (LP),Def y Justicia,1,0,L
Union,Lanus,3,0,L
Barracas Central,San Lorenzo,2,1,L
Sarmiento (J),Racing Club,1,1,E
Huracan,River Plate,3,2,L
Arsenal,Estudiantes (LP),2,1,L
Newells,Patronato,2,2,E
Aldosivi,Rosario Central,2,1,L
Independiente,Platense,1,3,V
Rosario Central,Sarmiento (J),1,0,L
Patronato,Arsenal,0,1,V
San Lorenzo,Boca Juniors,2,1,L
Banfield,Union,2,3,V
Platense,Newells,1,1,E
Talleres (C),Barracas Central,0,2,V
Estudiantes (LP),Central Cba (SdE),2,2,E
Racing Club,Independiente,1,0,L
Atl Tucuman,Gimnasia (LP),2,0,L
Lanus,Huracan,2,3,V
River Plate,Godoy Cruz,0,2,V
Def y Justicia,Aldosivi,3,2,L
Colon,Velez,2,1,L
Argentinos,Tigre,2,1,L
Central Cba (SdE),Patronato,1,3,V
Sarmiento (J),Def y Justicia,2,0,L
Arsenal,Platense,1,1,E
Aldosivi,Atl Tucuman,0,1,V
Independiente,Rosario Central,0,0,E
Gimnasia (LP),Colon,0,0,E
Newells,Racing Club,0,0,E
Boca Juniors,Talleres (C),1,0,L
Union,Huracan,0,0,E
Godoy Cruz,Lanus,2,1,L
Banfield,San Lorenzo,1,1,E
Tigre,Estudiantes (LP),2,1,L
Velez,River Plate,2,2,E
Colon,Aldosivi,1,1,E
Platense,Central Cba (SdE),2,0,L
Racing Club,Arsenal,1,1,E
Atl Tucuman,Sarmiento (J),1,0,L
Argentinos,Boca Juniors,2,0,L
San Lorenzo,Union,2,2,E
Patronato,Tigre,1,0,L
Def y Justicia,Independiente,2,1,L
Estudiantes (LP),Barracas Central,3,1,L
Huracan,Godoy Cruz,0,0,E
Lanus,Velez,2,2,E
Rosario Central,Newells,1,0,L
Talleres (C),Banfield,1,0,L
River Plate,Gimnasia (LP),1,0,L
Sarmiento (J),Colon,1,3,V
Central Cba (SdE),Racing Club,1,3,V
Independiente,Atl Tucuman,0,1,V
Tigre,Platense,3,0,L
Aldosivi,River Plate,0,3,V
Gimnasia (LP),Lanus,1,0,L
Boca Juniors,Estudiantes (LP),3,1,L
San Lorenzo,Talleres (C),1,1,E
Banfield,Argentinos,1,1,E
Newells,Def y Justicia,1,2,V
Union,Godoy Cruz,2,1,L
Velez,Huracan,1,1,E
Arsenal,Rosario Central,0,3,V
Barracas Central,Patronato,2,1,L
Godoy Cruz,Velez,1,1,E
Argentinos,San Lorenzo,0,1,V
Estudiantes (LP),Banfield,0,0,E
Huracan,Gimnasia (LP),0,1,V
Atl Tucuman,Newells,2,0,L
Platense,Barracas Central,0,0,E
Lanus,Aldosivi,0,1,V
Racing Club,Tigre,3,3,E
Patronato,Boca Juniors,3,0,L
River Plate,Sarmiento (J),1,2,V
Def y Justicia,Arsenal,0,0,E
Rosario Central,Central Cba (SdE),0,3,V
Colon,Independiente,0,3,V
Talleres (C),Union,2,2,E
Gimnasia (LP),Godoy Cruz,2,0,L
Banfield,Patronato,0,0,E
Sarmiento (J),Lanus,2,1,L
Arsenal,Atl Tucuman,3,1,L
Barracas Central,Racing Club,0,0,E
Union,Velez,2,1,L
Talleres (C),Argentinos,2,0,L
Boca Juniors,Platense,2,1,L
Aldosivi,Huracan,0,1,V
San Lorenzo,Estudiantes (LP),0,0,E
Independiente,River Plate,0,1,V
Newells,Colon,0,0,E
Central Cba (SdE),Def y Justicia,1,0,L
Tigre,Rosario Central,3,1,L
Godoy Cruz,Aldosivi,2,0,L
Atl Tucuman,Central Cba (SdE),1,0,L
Colon,Arsenal,1,1,E
Huracan,Sarmiento (J),4,1,L
Platense,Banfield,3,1,L
Patronato,San Lorenzo,3,2,L
Def y Justicia,Tigre,0,0,E
Rosario Central,Barracas Central,3,1,L
Lanus,Independiente,1,1,E
River Plate,Newells,4,1,L
Velez,Gimnasia (LP),1,1,E
Estudiantes (LP),Talleres (C),1,0,L
Argentinos,Union,2,0,L
Racing Club,Boca Juniors,0,0,E
Sarmiento (J),Godoy Cruz,1,2,V
Central Cba (SdE),Colon,3,0,L
San Lorenzo,Platense,2,0,L
Independiente,Huracan,1,1,E
Tigre,Atl Tucuman,0,0,E
Newells,Lanus,2,0,L
Arsenal,River Plate,0,0,E
Boca Juniors,Rosario Central,0,0,E
Barracas Central,Def y Justicia,3,1,L
Aldosivi,Velez,3,2,L
Talleres (C),Patronato,3,3,E
Union,Gimnasia (LP),0,2,V
Argentinos,Estudiantes (LP),1,0,L
Banfield,Racing Club,0,2,V
Colon,Tigre,2,1,L
Huracan,Newells,1,0,L
Lanus,Arsenal,1,0,L
Godoy Cruz,Independiente,1,1,E
River Plate,Central Cba (SdE),3,0,L
Def y Justicia,Boca Juniors,0,1,V
Estudiantes (LP),Union,1,0,L
Rosario Central,Banfield,0,1,V
Racing Club,San Lorenzo,1,2,V
Platense,Talleres (C),0,0,E
Velez,Sarmiento (J),1,1,E
Patronato,Argentinos,0,0,E
Gimnasia (LP),Aldosivi,0,0,E
Atl Tucuman,Barracas Central,4,0,L
Central Cba (SdE),Lanus,2,2,E
Arsenal,Huracan,1,1,E
San Lorenzo,Rosario Central,1,1,E
Newells,Godoy Cruz,1,2,V
Banfield,Def y Justicia,1,2,V
Talleres (C),Racing Club,1,1,E
Argentinos,Platense,0,2,V
Tigre,River Plate,1,1,E
Barracas Central,Colon,1,0,L
Sarmiento (J),Gimnasia (LP),0,0,E
Independiente,Velez,1,1,E
Boca Juniors,Atl Tucuman,2,1,L
Union,Aldosivi,0,0,E
Estudiantes (LP),Patronato,1,0,L
Huracan,Central Cba (SdE),2,0,L
Lanus,Tigre,1,2,V
Rosario Central,Talleres (C),1,0,L
Velez,Newells,0,1,V
Aldosivi,Sarmiento (J),1,2,V
Racing Club,Argentinos,1,0,L
Gimnasia (LP),Independiente,3,1,L
Platense,Estudiantes (LP),0,0,E
Patronato,Union,0,0,E
Colon,Boca Juniors,1,2,V
River Plate,Barracas Central,2,0,L
Def y Justicia,San Lorenzo,0,0,E
Godoy Cruz,Arsenal,1,0,L
Atl Tucuman,Banfield,0,0,E
Independiente,Aldosivi,3,0,L
Argentinos,Rosario Central,2,1,L
Union,Sarmiento (J),1,0,L
Barracas Central,Lanus,2,0,L
Patronato,Platense,1,0,L
Estudiantes (LP),Racing Club,1,0,L
Tigre,Huracan,1,1,E
Central Cba (SdE),Godoy Cruz,3,0,L
San Lorenzo,Atl Tucuman,1,1,E
Banfield,Colon,2,1,L
Newells,Gimnasia (LP),2,0,L
Arsenal,Velez,2,2,E
Boca Juniors,River Plate,1,0,L
Talleres (C),Def y Justicia,1,0,L
Sarmiento (J),Independiente,1,2,V
Huracan,Barracas Central,1,1,E
Godoy Cruz,Tigre,1,1,E
Racing Club,Patronato,1,0,L
Platense,Union,1,0,L
Aldosivi,Newells,1,2,V
Colon,San Lorenzo,0,0,E
River Plate,Banfield,1,2,V
Lanus,Boca Juniors,0,1,V
Def y Justicia,Argentinos,2,1,L
Rosario Central,Estudiantes (LP),1,1,E
Gimnasia (LP),Arsenal,2,0,L
Atl Tucuman,Talleres (C),1,1,E
Velez,Central Cba (SdE),3,1,L
Barracas Central,Godoy Cruz,3,1,L
Newells,Sarmiento (J),0,1,V
Tigre,Velez,2,0,L
San Lorenzo,River Plate,0,1,V
Banfield,Lanus,1,2,V
Platense,Racing Club,0,1,V
Talleres (C),Colon,2,0,L
Arsenal,Aldosivi,3,0,L
Boca Juniors,Huracan,0,0,E
Union,Independiente,0,1,V
Argentinos,Atl Tucuman,1,2,V
Estudiantes (LP),Def y Justicia,1,2,V
Patronato,Rosario Central,0,0,E
Central Cba (SdE),Gimnasia (LP),1,0,L
Godoy Cruz,Boca Juniors,0,1,V
Huracan,Banfield,3,1,L
Sarmiento (J),Arsenal,2,0,L
Def y Justicia,Patronato,2,1,L
Lanus,San Lorenzo,2,0,L
River Plate,Talleres (C),0,1,V
Independiente,Newells,1,0,L
Gimnasia (LP),Tigre,0,1,V
Rosario Central,Platense,1,1,E
Racing Club,Union,2,1,L
Atl Tucuman,Estudiantes (LP),3,1,L
Velez,Barracas Central,1,0,L
Colon,Argentinos,0,4,V
Aldosivi,Central Cba (SdE),0,3,V
Barracas Central,Gimnasia (LP),1,1,E
Tigre,Aldosivi,3,0,L
Estudiantes (LP),Colon,2,4,V
Racing Club,Rosario Central,4,3,L
Union,Newells,0,1,V
Platense,Def y Justicia,0,0,E
Central Cba (SdE),Sarmiento (J),0,0,E
San Lorenzo,Huracan,1,0,L
Banfield,Godoy Cruz,1,1,E
Arsenal,Independiente,0,1,V
Patronato,Atl Tucuman,2,1,L
Boca Juniors,Velez,1,0,L
Talleres (C),Lanus,0,1,V
Argentinos,River Plate,0,3,V
Rosario Central,Union,1,1,E
Aldosivi,Barracas Central,2,0,L
Godoy Cruz,San Lorenzo,0,0,E
Newells,Arsenal,0,0,E
Sarmiento (J),Tigre,2,2,E
Velez,Banfield,1,0,L
Colon,Patronato,1,0,L
Atl Tucuman,Platense,2,1,L
Def y Justicia,Racing Club,3,3,E
River Plate,Estudiantes (LP),5,0,L
Independiente,Central Cba (SdE),1,2,V
Huracan,Talleres (C),1,0,L
Lanus,Argentinos,0,4,V
Gimnasia (LP),Boca Juniors,1,2,V
Barracas Central,Sarmiento (J),1,1,E
San Lorenzo,Velez,1,0,L
Union,Arsenal,1,0,L
Platense,Colon,1,2,V
Tigre,Independiente,2,1,L
Banfield,Gimnasia (LP),0,2,V
Talleres (C),Godoy Cruz,3,1,L
Boca Juniors,Aldosivi,2,1,L
Patronato,River Plate,0,1,V
Argentinos,Huracan,1,1,E
Rosario Central,Def y Justicia,0,0,E
Estudiantes (LP),Lanus,3,1,L
Racing Club,Atl Tucuman,2,0,L
Central Cba (SdE),Newells,0,3,V
Aldosivi,Banfield,0,1,V
Gimnasia (LP),San Lorenzo,0,1,V
Sarmiento (J),Boca Juniors,0,1,V
Independiente,Barracas Central,2,2,E
River Plate,Platense,2,1,L
Velez,Talleres (C),2,1,L
Lanus,Patronato,0,1,V
Godoy Cruz,Argentinos,0,0,E
Newells,Tigre,0,2,V
Atl Tucuman,Rosario Central,1,1,E
Colon,Racing Club,0,2,V
Huracan,Estudiantes (LP),3,1,L
Def y Justicia,Union,1,0,L
Arsenal,Central Cba (SdE),2,0,L
Aldosivi,Talleres (C),1,3,V
Newells,Boca Juniors,2,0,L
Godoy Cruz,Patronato,0,1,V
Independiente,Banfield,1,0,L
River Plate,Rosario Central,1,2,V
Arsenal,Barracas Central,1,2,V
Gimnasia (LP),Argentinos,0,0,E
Velez,Estudiantes (LP),4,0,L
Atl Tucuman,Union,1,1,E
Sarmiento (J),San Lorenzo,2,4,V
Colon,Def y Justicia,1,2,V
Lanus,Racing Club,0,1,V
Huracan,Platense,2,0,L
Central Cba (SdE),Tigre,1,2,V
Union,Central Cba (SdE),1,4,V
San Lorenzo,Aldosivi,3,0,L
Estudiantes (LP),Godoy Cruz,2,0,L
Def y Justicia,Atl Tucuman,3,1,L
Argentinos,Velez,2,0,L
Banfield,Sarmiento (J),0,0,E
Talleres (C),Gimnasia (LP),2,1,L
Boca Juniors,Independiente,2,2,E
Racing Club,River Plate,1,2,V
Patronato,Huracan,3,2,L
Barracas Central,Newells,1,1,E
Rosario Central,Colon,1,1,E
Tigre,Arsenal,1,4,V
Platense,Lanus,1,1,E
